respondent_id,feature,functional,dysfunctional
K000,Multilingual consent wizard,Neutral,Dislike
K000,Doctor identity card,Like,Live with
K000,Plain-language access log,Like,Neutral
K000,Per-partner consent toggles,Like,Expect
K000,Care Moments (WhatsApp/SMS),Like,Dislike
K000,Grievance with case ID,Expect,Live with
K000,Audio narration at kiosk,Like,Dislike
K000,Download / share my records (ABHA),Neutral,Dislike
K000,Trust status panel,Neutral,Neutral
K000,Data deletion request,Expect,Neutral
K001,Multilingual consent wizard,Expect,Live with
K001,Doctor identity card,Neutral,Neutral
K001,Plain-language access log,Expect,Live with
K001,Per-partner consent toggles,Like,Dislike
K001,Care Moments (WhatsApp/SMS),Neutral,Like
K001,Grievance with case ID,Neutral,Like
K001,Audio narration at kiosk,Like,Neutral
K001,Download / share my records (ABHA),Like,Dislike
K001,Trust status panel,Neutral,Neutral
K001,Data deletion request,Like,Live with
K002,Multilingual consent wizard,Expect,Dislike
K002,Doctor identity card,Like,Dislike
K002,Plain-language access log,Neutral,Neutral
K002,Per-partner consent toggles,Like,Live with
K002,Care Moments (WhatsApp/SMS),Like,Dislike
K002,Grievance with case ID,Like,Dislike
K002,Audio narration at kiosk,Like,Dislike
K002,Download / share my records (ABHA),Like,Dislike
K002,Trust status panel,Neutral,Neutral
K002,Data deletion request,Neutral,Live with
K003,Multilingual consent wizard,Expect,Dislike
K003,Doctor identity card,Like,Dislike
K003,Plain-language access log,Like,Live with
K003,Per-partner consent toggles,Like,Dislike
K003,Care Moments (WhatsApp/SMS),Expect,Live with
K003,Grievance with case ID,Expect,Dislike
K003,Audio narration at kiosk,Like,Live with
K003,Download / share my records (ABHA),Like,Dislike
K003,Trust status panel,Dislike,Live with
K003,Data deletion request,Neutral,Neutral
K004,Multilingual consent wizard,Neutral,Dislike
K004,Doctor identity card,Like,Dislike
K004,Plain-language access log,Like,Dislike
K004,Per-partner consent toggles,Like,Dislike
K004,Care Moments (WhatsApp/SMS),Like,Dislike
K004,Grievance with case ID,Expect,Dislike
K004,Audio narration at kiosk,Live with,Neutral
K004,Download / share my records (ABHA),Dislike,Live with
K004,Trust status panel,Neutral,Neutral
K004,Data deletion request,Like,Neutral
K005,Multilingual consent wizard,Neutral,Dislike
K005,Doctor identity card,Like,Dislike
K005,Plain-language access log,Like,Neutral
K005,Per-partner consent toggles,Like,Neutral
K005,Care Moments (WhatsApp/SMS),Neutral,Live with
K005,Grievance with case ID,Expect,Neutral
K005,Audio narration at kiosk,Like,Neutral
K005,Download / share my records (ABHA),Like,Dislike
K005,Trust status panel,Live with,Neutral
K005,Data deletion request,Like,Live with
K006,Multilingual consent wizard,Neutral,Dislike
K006,Doctor identity card,Expect,Dislike
K006,Plain-language access log,Like,Live with
K006,Per-partner consent toggles,Like,Dislike
K006,Care Moments (WhatsApp/SMS),Like,Like
K006,Grievance with case ID,Like,Neutral
K006,Audio narration at kiosk,Like,Neutral
K006,Download / share my records (ABHA),Like,Live with
K006,Trust status panel,Neutral,Live with
K006,Data deletion request,Like,Neutral
K007,Multilingual consent wizard,Expect,Dislike
K007,Doctor identity card,Expect,Dislike
K007,Plain-language access log,Like,Live with
K007,Per-partner consent toggles,Like,Dislike
K007,Care Moments (WhatsApp/SMS),Like,Dislike
K007,Grievance with case ID,Expect,Dislike
K007,Audio narration at kiosk,Like,Neutral
K007,Download / share my records (ABHA),Like,Neutral
K007,Trust status panel,Like,Neutral
K007,Data deletion request,Like,Live with
K008,Multilingual consent wizard,Like,Dislike
K008,Doctor identity card,Like,Dislike
K008,Plain-language access log,Neutral,Neutral
K008,Per-partner consent toggles,Like,Dislike
K008,Care Moments (WhatsApp/SMS),Like,Live with
K008,Grievance with case ID,Expect,Dislike
K008,Audio narration at kiosk,Like,Dislike
K008,Download / share my records (ABHA),Expect,Dislike
K008,Trust status panel,Expect,Neutral
K008,Data deletion request,Like,Expect
K009,Multilingual consent wizard,Like,Live with
K009,Doctor identity card,Neutral,Live with
K009,Plain-language access log,Expect,Neutral
K009,Per-partner consent toggles,Like,Live with
K009,Care Moments (WhatsApp/SMS),Like,Dislike
K009,Grievance with case ID,Expect,Dislike
K009,Audio narration at kiosk,Like,Neutral
K009,Download / share my records (ABHA),Neutral,Live with
K009,Trust status panel,Neutral,Neutral
K009,Data deletion request,Like,Neutral
K010,Multilingual consent wizard,Like,Dislike
K010,Doctor identity card,Like,Live with
K010,Plain-language access log,Like,Neutral
K010,Per-partner consent toggles,Like,Dislike
K010,Care Moments (WhatsApp/SMS),Like,Dislike
K010,Grievance with case ID,Neutral,Live with
K010,Audio narration at kiosk,Like,Dislike
K010,Download / share my records (ABHA),Like,Dislike
K010,Trust status panel,Neutral,Live with
K010,Data deletion request,Like,Live with
K011,Multilingual consent wizard,Expect,Neutral
K011,Doctor identity card,Expect,Dislike
K011,Plain-language access log,Like,Neutral
K011,Per-partner consent toggles,Neutral,Dislike
K011,Care Moments (WhatsApp/SMS),Neutral,Dislike
K011,Grievance with case ID,Expect,Dislike
K011,Audio narration at kiosk,Like,Neutral
K011,Download / share my records (ABHA),Like,Neutral
K011,Trust status panel,Neutral,Neutral
K011,Data deletion request,Like,Neutral
K012,Multilingual consent wizard,Live with,Neutral
K012,Doctor identity card,Like,Dislike
K012,Plain-language access log,Like,Neutral
K012,Per-partner consent toggles,Expect,Like
K012,Care Moments (WhatsApp/SMS),Like,Dislike
K012,Grievance with case ID,Expect,Live with
K012,Audio narration at kiosk,Like,Neutral
K012,Download / share my records (ABHA),Neutral,Dislike
K012,Trust status panel,Like,Neutral
K012,Data deletion request,Like,Neutral
K013,Multilingual consent wizard,Neutral,Dislike
K013,Doctor identity card,Like,Dislike
K013,Plain-language access log,Like,Neutral
K013,Per-partner consent toggles,Like,Dislike
K013,Care Moments (WhatsApp/SMS),Like,Dislike
K013,Grievance with case ID,Like,Dislike
K013,Audio narration at kiosk,Live with,Neutral
K013,Download / share my records (ABHA),Like,Dislike
K013,Trust status panel,Neutral,Live with
K013,Data deletion request,Like,Neutral
K014,Multilingual consent wizard,Neutral,Dislike
K014,Doctor identity card,Live with,Neutral
K014,Plain-language access log,Neutral,Neutral
K014,Per-partner consent toggles,Like,Dislike
K014,Care Moments (WhatsApp/SMS),Like,Dislike
K014,Grievance with case ID,Expect,Dislike
K014,Audio narration at kiosk,Neutral,Neutral
K014,Download / share my records (ABHA),Expect,Like
K014,Trust status panel,Dislike,Dislike
K014,Data deletion request,Expect,Neutral
K015,Multilingual consent wizard,Expect,Live with
K015,Doctor identity card,Like,Expect
